college,course,category,Round 1,Round 2,Mop-up,fees,service_type,counseling
Adichunchanagiri Institute of Medical Sciences Bellur,M.D. Radio Diagnosis,GM,,67758.0,,783108,Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,GM,97902.0,,,783108,Inservice,KEA
Akash Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GM,,92690.0,92690.0,783108,Inservice,KEA
Aralaguppe Mallegowda District Hospital,Diploma in Anesthesia,GM,,,211217.0,125000,Inservice,KEA
Aralaguppe Mallegowda District Hospital,Diploma in Obstetrics and Gynecology,GM,,,203189.0,125000,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. Anaesthesia,GM,72632.0,120173.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. Anaesthesia,GMH,104947.0,,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. Dermatology,GM,,64372.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. General Medicine,GM,66276.0,72632.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. Radio Diagnosis,GM,,29187.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.D. Radio Diagnosis,S1G,,94347.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.S. ENT,GM,137486.0,137486.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.S. Obstetrics and Gynecology,GM,84047.0,53795.0,,123400,Inservice,KEA
Bangalore Medical College and Research Institute,M.S. Orthopedics,GM,27606.0,,,123400,Inservice,KEA
Belagavi Institute of Medical Sciences,M.D. General Medicine,GM,,93357.0,,123400,Inservice,KEA
Belagavi Institute of Medical Sciences,M.D. Radio Diagnosis,GM,77744.0,,,123400,Inservice,KEA
Belagavi Institute of Medical Sciences,M.S. General Surgery,GM,,93505.0,131719.0,123400,Inservice,KEA
Bidar Institute of Medical Sciences,M.D. Anaesthesia,GM,110196.0,,,123400,Inservice,KEA
Bidar Institute of Medical Sciences,M.S. Obstetrics and Gynecology,GM,,91537.0,,123400,Inservice,KEA
Chamrajanagar Institute of Medical Sciences Karnataka,M.D. Anaesthesia,S1G,131625.0,,,123400,Inservice,KEA
Chikkaballapura Institute of Medical Sciences,M.S. General Surgery,GM,,,143248.0,123400,Inservice,KEA
Chikkamagaluru Institute of Medical Sciences Chikkamagaluru,M.D. General Medicine,GM,,109853.0,,123400,Inservice,KEA
District Hospital,DNB Anaesthesia,GM,,,156251.0,125000,Inservice,KEA
District Hospital,DNB General Medicine,GM,105371.0,,150043.0,125000,Inservice,KEA
District Hospital,DNB General Surgery,GM,93505.0,,191978.0,125000,Inservice,KEA
District Hospital,DNB Obstetrics and Gynecology,1G,89968.0,,,125000,Inservice,KEA
District Hospital,DNB Obstetrics and Gynecology,GM,,,173087.0,125000,Inservice,KEA
District Hospital,DNB Opthalamology,GM,,84899.0,158970.0,125000,Inservice,KEA
District Hospital,DNB Orthopedics,GM,,,137798.0,125000,Inservice,KEA
District Hospital,DNB in Paediatrics,GM,,132963.0,154576.0,125000,Inservice,KEA
District Hospital,Diploma in Anesthesia,GM,,,210521.0,125000,Inservice,KEA
District Hospital,Diploma in Family Medicine,GM,,,216262.0,125000,Inservice,KEA
District Hospital,Diploma in Medical Radio Diagnosis,GM,92690.0,118635.0,121327.0,125000,Inservice,KEA
District Hospital,Diploma in Obstetrics and Gynecology,GM,,,189398.0,125000,Inservice,KEA
District Hospital,Diploma in Opthalamology,GM,,,219230.0,125000,Inservice,KEA
District Hospital,Diploma in Paediatrics,GM,84899.0,,180285.0,125000,Inservice,KEA
District Hospital,Diploma in Paediatrics,GMH,104802.0,,,125000,Inservice,KEA
District Hospital,Diploma in Paediatrics,S3G,101361.0,,,125000,Inservice,KEA
District hospital and Epidemiological diseases hospital,Diploma in Anesthesia,GM,,,199379.0,125000,Inservice,KEA
Dr BR Ambedkar Medical College,M.D. Radio Diagnosis,GM,,62120.0,71272.0,783108,Inservice,KEA
East Point College of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GM,,,138295.0,783108,Inservice,KEA
Employees State Insurance Corporation Medical College Bangalore,M.D. Anaesthesia,GM,83384.0,,,263400,Inservice,KEA
Employees State Insurance Corporation Medical College Bangalore,M.D. General Medicine,GM,92737.0,,,263400,Inservice,KEA
Employees State Insurance Corporation Medical College Bangalore,M.S. Obstetrics and Gynecology,GM,,103602.0,,263400,Inservice,KEA
Employees State Insurance Corporation Medical College Gulbarga,M.D. General Medicine,GM,,111101.0,,123400,Inservice,KEA
Gadag Institute of Medical Sciences,M.D. Dermatology,GM,94294.0,,,123400,Inservice,KEA
Gadag Institute of Medical Sciences,M.D. General Medicine,S1G,,127830.0,127830.0,123400,Inservice,KEA
Gadag Institute of Medical Sciences,M.D. Radio Diagnosis,GM,,61296.0,61296.0,123400,Inservice,KEA
General Hospital,DNB Anaesthesia,GM,,,140675.0,125000,Inservice,KEA
General Hospital,DNB General Medicine,GM,71272.0,,120657.0,125000,Inservice,KEA
General Hospital,DNB Obstetrics and Gynecology,GM,,,165199.0,125000,Inservice,KEA
General Hospital,DNB Orthopedics,GM,29187.0,104048.0,104048.0,125000,Inservice,KEA
General Hospital,Diploma in Anesthesia,GM,,,211571.0,125000,Inservice,KEA
General Hospital,Diploma in Medical Radio Diagnosis,GM,56088.0,96194.0,,125000,Inservice,KEA
General Hospital,Diploma in Obstetrics and Gynecology,GM,102233.0,,204779.0,125000,Inservice,KEA
General Hospital,Diploma in Paediatrics,GM,,,183494.0,125000,Inservice,KEA
Gulbarga Institute of Medical Sciences,M.D. General Medicine,GM,,104802.0,,123400,Inservice,KEA
Gulbarga Institute of Medical Sciences,M.S. General Surgery,GM,,,146385.0,123400,Inservice,KEA
Hassan Institute of Medical Sciences,M.D. Anaesthesia,S2G,92146.0,,,123400,Inservice,KEA
Hassan Institute of Medical Sciences,M.S. General Surgery,S3G,,117834.0,,123400,Inservice,KEA
Hassan Institute of Medical Sciences,M.S. Obstetrics and Gynecology,GM,,102233.0,102233.0,123400,Inservice,KEA
Haveri Institute of Medical Sciences Haveri,M.D. General Medicine,GM,,114525.0,,123400,Inservice,KEA
JAYACHAMARAJENDRA GENERAL HOSPITAL,Diploma in Paediatrics,GM,,,181263.0,125000,Inservice,KEA
JJM Medical College,M.D. Radio Diagnosis,GM,92336.0,92336.0,,783108,Inservice,KEA
K V G Medical College,M.D. General Medicine,GM,,,103171.0,783108,Inservice,KEA
K V G Medical College,M.D. Radio Diagnosis,GM,,97902.0,97902.0,783108,Inservice,KEA
KC General Hospital,DNB Anaesthesia,GM,121152.0,,180362.0,125000,Inservice,KEA
KC General Hospital,DNB General Medicine,GM,62120.0,133632.0,118136.0,125000,Inservice,KEA
KC General Hospital,DNB General Medicine,S2G,98003.0,,,125000,Inservice,KEA
KC General Hospital,DNB General Surgery,GM,117834.0,,170949.0,125000,Inservice,KEA
KC General Hospital,DNB Obstetrics and Gynecology,GM,53795.0,,125267.0,125000,Inservice,KEA
