college,course,category,Round 1,Round 2,Mop-up,Stray,Stray Extended,fees,service_type,counseling
A J Institute of Medical Sciences & Research Centre,Diploma in TB and Chest Diseases,GMP,38368.0,56250.0,56250.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D Emergency Medicine,MU,,101833.0,74134.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,2AG,23724.0,37857.0,40628.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GM,19660.0,30575.0,37857.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMP,27321.0,55771.0,40644.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,GMPH,30607.0,66197.0,66197.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,MU,40104.0,104387.0,88367.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,OPN,20155.0,,,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Anaesthesia,S3G,41896.0,56157.0,56157.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,GM,,,210862.0,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,GMH,85593.0,,,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Community Medicine,MU,115447.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,GM,1609.0,5625.0,6460.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,MNG,30222.0,112726.0,188968.0,,,13515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Dermatology,MU,13494.0,24121.0,31257.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Forensic Medicine,OPN,,,200690.0,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,3BG,2492.0,8933.0,8933.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,GM,1865.0,4389.0,4389.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,MNG,102654.0,112609.0,197046.0,,198661.0,11015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,MU,13718.0,16752.0,16752.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,OPN,4389.0,10893.0,10893.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. General Medicine,STG,,63340.0,63340.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Microbiology,MU,112971.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GM,,13752.0,13752.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,GMP,8755.0,20155.0,,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,MNG,115231.0,128764.0,184552.0,,130428.0,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,MU,16752.0,34706.0,34706.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,NRI,102875.0,,,,,10015000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,OPN,,18844.0,18844.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,PGM,130370.0,,,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,S2G,,36386.0,36386.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Paediatrics,S3G,,37127.0,37187.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,GM,,56670.0,48315.0,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,GMP,42552.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,MU,71378.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pathology,OPN,39539.0,112971.0,119304.0,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,GM,29393.0,,,,,207027,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,MU,101371.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Pharmacology,OPN,70743.0,,,,,358253,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,GMP,23931.0,64129.0,64129.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,MU,40074.0,71378.0,71378.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Psychiatry,S3G,60512.0,63481.0,72228.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,3BG,2820.0,8022.0,8022.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GM,1034.0,4471.0,4471.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,GMPH,6628.0,15553.0,15553.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,MNG,114447.0,,209639.0,210051.0,210172.0,12515000,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,MU,10569.0,8856.0,24121.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Diagnosis,OPN,2490.0,5846.0,5846.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,GMPH,39223.0,98115.0,98115.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,OPN,20869.0,42232.0,42232.0,,,1387994,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Radio Therapy,S3G,56436.0,116502.0,116502.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,3BG,14550.0,25293.0,25293.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,GM,,17272.0,22650.0,,,783108,Non-Inservice,KEA
A J Institute of Medical Sciences & Research Centre,M.D. Respiratory Medicine,MNG,,,135520.0,,,10015000,Non-Inservice,KEA
