college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Associated Hospital,(NBEMS) Anatomy,SC,,127796.0,,
Pgimer,(NBEMS) Emergency Medicine,Open,6125.0,,,
Iqraa International Hospital And Research Centre,(NBEMS) Emergency Medicine,Open,7877.0,,,
Baby Memorial Hospital,(NBEMS) Emergency Medicine,Open,8015.0,,,
Safdarjung Hospital And Vardhman Mahavir Medical College,(NBEMS) Emergency Medicine,Open,8226.0,,,
Apollo Gleneagles Hospital,(NBEMS) Emergency Medicine,Open,8920.0,,,37169.0
Lady Hardinge Medical College,(NBEMS) Emergency Medicine,Open,9033.0,,,
Pgimer,(NBEMS) Emergency Medicine,SC,9406.0,,,
Sir Ganga Ram Hospital,(NBEMS) Emergency Medicine,Open,9822.0,,,
P.D. Hinduja National Hospital And Medical Research Centre,(NBEMS) Emergency Medicine,Open,10175.0,,,
Safdarjung Hospital And Vardhman Mahavir Medical College,(NBEMS) Emergency Medicine,OBC,10726.0,,,
Pgimer,(NBEMS) Emergency Medicine,OBC,11714.0,,,
Government Institute Of Medical Sciences,(NBEMS) Emergency Medicine,Open,12005.0,,,
Medical Trust Hospital,(NBEMS) Emergency Medicine,Open,12006.0,,,
Lady Hardinge Medical College,(NBEMS) Emergency Medicine,OBC,12193.0,,,
Caritas Hospital,(NBEMS) Emergency Medicine,Open,12681.0,,,
Kerala Institute Of Medical Sciences,(NBEMS) Emergency Medicine,Open,13079.0,,,
Sree Gokulam Medical College Research Foundation,(NBEMS) Emergency Medicine,Open,13210.0,,,
Lourdes Hospital,(NBEMS) Emergency Medicine,Open,13400.0,,,
Medanta The Medicity,(NBEMS) Emergency Medicine,Open,13743.0,,,
Aig Hospital,(NBEMS) Emergency Medicine,Open,14156.0,,,
Malankara Orthodox Syrian Church Medical College Hospital,(NBEMS) Emergency Medicine,Open,14254.0,,,
Kannur Medical College Hospital,(NBEMS) Emergency Medicine,Open,15120.0,,,30881.0
Deenanath Mangeshkar Hospital And Research Centre.,(NBEMS) Emergency Medicine,Open,15143.0,,,29008.0
Bangalore Baptist Hospital,(NBEMS) Emergency Medicine,Open,15191.0,,,
